language,signal,candidate,freq_in_true_group,freq_in_false_group,lift
mar,endfiller_trailing_word,तर,11,1,24.82
mar,midfiller_word_frequency,यांच्या,7,1,9.74
mar,midfiller_word_frequency,महिला,5,1,6.96
mar,midfiller_word_frequency,तर,30,12,4.3
mar,midfiller_word_frequency,म्हणजे,30,13,3.98
nld,endfiller_trailing_word,omdat,39,0,1572.58
nld,endfiller_trailing_word,maar,31,0,1250.0
nld,endfiller_trailing_word,eh,4,0,161.29
nld,endfiller_trailing_word,dus,38,1,71.85
nld,endfiller_trailing_word,en,26,2,25.17
nor,endfiller_trailing_word,altså,17,0,1197.18
nor,endfiller_trailing_word,så,13,0,915.49
nor,endfiller_trailing_word,fordi,12,0,845.07
nor,endfiller_trailing_word,vel,10,0,704.23
nor,endfiller_trailing_word,liksom,8,0,563.38
nor,endfiller_trailing_word,men,7,0,492.96
nor,midfiller_word_frequency,liksom,31,4,11.73
nor,midfiller_word_frequency,altså,33,11,4.85
pol,endfiller_trailing_word,ale,29,0,1559.14
pol,endfiller_trailing_word,więc,17,0,913.98
pol,endfiller_trailing_word,bo,16,0,860.22
pol,endfiller_trailing_word,e,4,0,215.05
pol,endfiller_trailing_word,i,27,4,11.31
por,endfiller_trailing_word,mas,54,0,2160.0
por,endfiller_trailing_word,então,37,0,1480.0
por,endfiller_trailing_word,porque,18,0,720.0
por,endfiller_trailing_word,quê,8,0,320.0
por,endfiller_trailing_word,porquê,3,0,120.0
por,endfiller_trailing_word,e,42,1,80.91
rus,endfiller_trailing_word,что,52,0,2047.24
rus,endfiller_trailing_word,но,31,0,1220.47
rus,endfiller_trailing_word,ну,6,0,236.22
rus,endfiller_trailing_word,и,36,4,17.91
rus,midfiller_word_frequency,ну,122,8,7.84
rus,midfiller_word_frequency,же,16,1,6.44
spa,endfiller_trailing_word,pero,38,0,1596.64
spa,endfiller_trailing_word,entonces,31,0,1302.52
spa,endfiller_trailing_word,este,31,0,1302.52
spa,endfiller_trailing_word,pues,24,0,1008.4
spa,endfiller_trailing_word,porque,19,0,798.32
spa,endfiller_trailing_word,qué,4,0,168.07
spa,endfiller_trailing_word,y,16,1,30.42
spa,endfiller_trailing_word,e,8,1,15.21
spa,midfiller_word_frequency,éste,23,2,5.01
spa,midfiller_word_frequency,este,201,24,4.45
tur,endfiller_trailing_word,ama,46,0,2500.0
tur,endfiller_trailing_word,çünkü,35,0,1902.17
tur,endfiller_trailing_word,ve,33,0,1793.48
tur,midfiller_word_frequency,hem,6,0,23.1
tur,midfiller_word_frequency,şeyh,6,0,23.1
tur,midfiller_word_frequency,nedir,5,0,19.25
tur,endfiller_trailing_word,şey,46,4,18.61
tur,midfiller_word_frequency,şey,189,32,7.32
tur,midfiller_word_frequency,neden,5,1,4.72
tur,midfiller_word_frequency,günü,5,1,4.72
tur,midfiller_word_frequency,yüksek,8,2,4.31
tur,midfiller_word_frequency,ayrıca,7,2,3.77
ukr,endfiller_trailing_word,що,9,0,714.29
ukr,endfiller_trailing_word,але,9,0,714.29
ukr,endfiller_trailing_word,бо,8,0,634.92
ukr,endfiller_trailing_word,так,8,0,634.92
ukr,endfiller_trailing_word,значить,7,0,555.56
ukr,endfiller_trailing_word,короче,4,0,317.46
ukr,endfiller_trailing_word,м,3,0,238.1
ukr,endfiller_trailing_word,коротше,3,0,238.1
ukr,endfiller_trailing_word,типу,17,1,39.81
ukr,endfiller_trailing_word,та,18,3,14.33
ukr,midfiller_word_frequency,ну,9,1,12.96
ukr,midfiller_word_frequency,значить,27,5,9.76
ukr,midfiller_word_frequency,короче,11,2,9.07
ukr,midfiller_word_frequency,коротше,11,3,6.36
ukr,midfiller_word_frequency,типу,32,11,5.45
ukr,midfiller_word_frequency,календарі,6,3,3.47
vie,endfiller_trailing_word,vì,14,0,1000.0
vie,endfiller_trailing_word,thì,11,0,785.71
vie,endfiller_trailing_word,nên,8,0,571.43
vie,endfiller_trailing_word,ở,7,0,500.0
vie,endfiller_trailing_word,xong,3,0,214.29
vie,endfiller_trailing_word,nhưng,3,0,214.29
vie,endfiller_trailing_word,tại,6,1,13.77
vie,endfiller_trailing_word,song,5,1,11.48
vie,midfiller_word_frequency,thì,54,17,5.41
zho,endfiller_trailing_chars_workaround,以,19,0,1079.55
zho,endfiller_trailing_chars_workaround,所以,19,0,1079.55
zho,endfiller_trailing_chars_workaround,是。,15,0,852.27
zho,endfiller_trailing_chars_workaround,，所以,14,0,795.45
zho,endfiller_trailing_chars_workaround,就是。,13,0,738.64
zho,endfiller_trailing_chars_workaround,但是,12,0,681.82
zho,endfiller_trailing_chars_workaround,为,10,0,568.18
zho,endfiller_trailing_chars_workaround,因为,10,0,568.18
zho,endfiller_trailing_chars_workaround,，但是,10,0,568.18
zho,endfiller_trailing_chars_workaround,后。,9,0,511.36
zho,endfiller_trailing_chars_workaround,然后。,9,0,511.36
zho,endfiller_trailing_chars_workaround,以。,6,0,340.91
zho,endfiller_trailing_chars_workaround,所以。,6,0,340.91
zho,endfiller_trailing_chars_workaround,后,5,0,284.09
zho,endfiller_trailing_chars_workaround,个,5,0,284.09
zho,endfiller_trailing_chars_workaround,然后,5,0,284.09
zho,endfiller_trailing_chars_workaround,那个,5,0,284.09
zho,endfiller_trailing_chars_workaround,。所以,5,0,284.09
zho,endfiller_trailing_chars_workaround,。因为,5,0,284.09
zho,endfiller_trailing_chars_workaround,，因为,5,0,284.09
zho,endfiller_trailing_chars_workaround,质,1,0,56.82
zho,endfiller_trailing_chars_workaround,该,1,0,56.82
